project, size, inversion-ratio, thr  eads, run, time, instructions, cycles, context-switches, cache-misses, L1-dcache-load-misses, stalled-cycles-frontend, stalled-cycles-backend
C, 64, 100, 1, 1, .03, 2094916, 4031453, 1, 23892, 38662, 998043, 1518038
C, 64, 100, 1, 2, .03, 2109173, 4003874, 2, 23291, 38761, 994209, 1549793
C, 64, 100, 1, 3, .02, 2109710, 3972168, 1, 23646, 38741, 988537, 1490824
C, 64, 100, 1, 4, .03, 2115808, 3870035, 1, 24832, 38432, 995314, 1554588
C, 64, 100, 1, 5, .03, 2109656, 4170521, 1, 23933, 38648, 1045883, 1512273
C, 64, 100, 1, 6, .03, 2070674, 3854759, 1, 23577, 39405, 990499, 1566434
C, 64, 100, 1, 7, .03, 2125768, 4056211, 1, 23363, 39000, 1011232, 1506382
C, 64, 100, 1, 8, .03, 2123627, 4071410, 1, 23752, 38857, 996303, 1622340
C, 64, 100, 2, 1, .39, 2223902, 4314626, 2, 28205, 41229, 1105720, 1645513
C, 64, 100, 2, 2, .40, 2233133, 4314999, 2, 28658, 41857, 1148103, 1681796
C, 64, 100, 2, 3, .40, 2193677, 4293886, 2, 28280, 41800, 1105551, 1628142
C, 64, 100, 2, 4, .39, 2194600, 4252508, 2, 28469, 41801, 1157360, 1674118
C, 64, 100, 2, 5, .39, 2213104, 4406148, 2, 28421, 42580, 1139849, 1580851
C, 64, 100, 2, 6, .39, 2198202, 4305186, 2, 28298, 41117, 1318158, 1633929
C, 64, 100, 2, 7, .39, 2211293, 4398722, 2, 28386, 41888, 1182240, 1650398
C, 64, 100, 2, 8, .39, 2204290, 4314009, 2, 28349, 41333, 1153295, 1542269
C, 64, 100, 4, 1, 1.00, 2569003, 5133085, 12, 35811, 45992, 1343306, 1964783
C, 64, 100, 4, 2, 1.03, 2517387, 5147994, 7, 38259, 46666, 1357943, 1943124
C, 64, 100, 4, 3, .96, 2522703, 5177964, 6, 36413, 46269, 1333604, 1946317
C, 64, 100, 4, 4, .92, 2544906, 5086764, 5, 35391, 46808, 1334820, 1965367
C, 64, 100, 4, 5, .96, 2537516, 5179326, 10, 37164, 46210, 1360548, 2020696
C, 64, 100, 4, 6, 1.00, 2627045, 5062185, 5, 36620, 46152, 1342121, 1940967
C, 64, 100, 4, 7, 1.00, 2556513, 5151152, 7, 35494, 47129, 1358476, 1930496
C, 64, 100, 4, 8, .99, 2510149, 5066764, 7, 35258, 46180, 1350857, 1954846
C, 64, 100, 8, 1, 2.66, 3581628, 7382001, 42, 54249, 59436, 1932256, 2746304
C, 64, 100, 8, 2, 2.74, 3465420, 8243332, 34, 57083, 59385, 1910775, 2959131
C, 64, 100, 8, 3, 2.72, 3457615, 7596495, 29, 55157, 59166, 1888240, 3045329
C, 64, 100, 8, 4, 1.91, 3416137, 8245072, 29, 50707, 59176, 2006587, 3656947
C, 64, 100, 8, 5, 2.09, 4158677, 8940867, 25, 56796, 60283, 1961139, 3455995
C, 64, 100, 8, 6, 2.67, 3744106, 7521218, 30, 53105, 60428, 1893899, 3063436
C, 64, 100, 8, 7, 2.46, 3369152, 7772658, 35, 56695, 60602, 1878638, 2721487
C, 64, 100, 8, 8, 2.54, 3579188, 7391413, 30, 52648, 58145, 1939190, 2716997
C, 64, 100, 16, 1, 5.70, 5243983, 12019061, 106, 86139, 85324, 3263439, 4484338
C, 64, 100, 16, 2, 6.02, 6254599, 12506220, 98, 86723, 84929, 3247024, 4925259
C, 64, 100, 16, 3, 5.19, 4765982, 11164089, 99, 82097, 79951, 3102050, 4895861
C, 64, 100, 16, 4, 5.45, 5290243, 13002826, 100, 79611, 80196, 3306315, 4617673
C, 64, 100, 16, 5, 5.04, 5028386, 12296764, 116, 80934, 82910, 3168709, 4212279
C, 64, 100, 16, 6, 5.35, 5679515, 11553608, 107, 83299, 83457, 3268268, 4626577
C, 64, 100, 16, 7, 5.15, 5135872, 11043038, 108, 79644, 85493, 3120473, 4504080
C, 64, 100, 16, 8, 4.88, 5662497, 12534760, 109, 77410, 81677, 3033827, 4922167
C, 64, 100, 32, 1, 10.91, 9435008, 24570726, 193, 135715, 134510, 5658391, 8223757
C, 64, 100, 32, 2, 10.37, 9980234, 24173694, 256, 140230, 135952, 6040588, 8006643
C, 64, 100, 32, 3, 10.59, 10025743, 25720143, 223, 147036, 140085, 5880522, 7755221
C, 64, 100, 32, 4, 10.57, 11037128, 24548149, 270, 130970, 132828, 6289973, 7895710
C, 64, 100, 32, 5, 10.84, 10758920, 23174007, 237, 167025, 133266, 5734206, 8731533
C, 64, 100, 32, 6, 11.16, 9586016, 27498454, 233, 156737, 137422, 5950818, 8878601
C, 64, 100, 32, 7, 10.45, 9823150, 23711920, 240, 137574, 140216, 7283376, 8380499
